行ID,施設名,郵便番号,住所,電話番号,ウェブサイトURL,初診の対応可能,再診の対応可能,対応診療科,担当医師名,対面診療が必要と判断した場合に連携する医療機関名（複数ある場合は複数、住所も併せて記載）,地方ID,地方,ID地方,都道府県ID,都道府県,ID都道府県,市区町村ID,市区町村,ID市区町村,二次医療圏ID,二次医療圏,ID二次医療圏
4560,葛が谷つばさクリニック,224-0062,神奈川県横浜市都筑区葛が谷４－１４,045-945-2772,https://kuzugayatsubasa.com,〇,〇,内科小児科,長田展明,菊名記念病院,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4561,グッドライフクリニック,224-0003,神奈川県横浜市都筑区中川中央１－３９－４４－２０３,045-913-1333,https://gdlifecl.com/,×,〇,糖尿病内科内科,橋本桂子,昭和大学横浜市北部病院（都筑区茅ケ崎中央35－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4562,クリニック医庵センター南,224-0032,神奈川県横浜市都筑区茅ケ崎中央40-3,045-945-1125,http://www.c-ian.jp,〇,〇,内科精神科,田治直英藤田悠介,クリニック医庵青葉台（横浜市青葉区青葉台2-30-2）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4563,すみれ整形外科クリニック,224-0053,神奈川県横浜市都筑区池辺町4035-1ららぽーと横浜1階,045-938-5230,http://www.sumire-seikei.com,×,〇,整形外科自由診療科,増澤通永鳥居良昭小山亮太,なし,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4564,センター南駅前内科おなかクリニック,224-0032,神奈川県横浜市都筑区茅ヶ崎中央６番１号サウスウッド３階,045-507-7522,https://cm-onaka.com,〇,〇,内科消化器内科,小川修小川奈津,,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4565,そがこどもクリニック,224-0032,神奈川県横浜市都筑区茅ケ崎中央1-2センター南駅光ビル4階,045-941-4976,https://soga-kodomo.com/,×,〇,小児科,曽我恭司,,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4566,ちかかね皮膚科,224-0032,神奈川県横浜市都筑区茅ケ崎中央２６?１２F,045-948-3212,http://www.e-skin.net,△,〇,皮膚科,近兼健一朗,横浜市都筑区茅ケ崎中央２６?１２Fちかかね皮膚科,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4567,つちや眼科クリニック,224-0062,神奈川県横浜市都筑区葛が谷１５－３０フォレストプラザ２Ｆ,045-943-1108,http://www.tsuchiyaganka.jp/,〇,〇,眼科,土屋優子土屋款,,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4568,つづきの家診療所,224-0054,神奈川県横浜市都筑区佐江戸町509-6,045-937-6065,http://www2.hp-ez.com/hp/tuzukinoie/page16,〇,〇,小児科,三宅捷太,みどりの家診療所,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4569,ときえだ小児科クリニック,224-0021,神奈川県横浜市都筑区北山田1-12-15,045-595-4150,http://www.tokieda-cl.com,〇,〇,小児科アレルギー科,時枝啓介,,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4570,内科・消化器科林医院,224-0034,神奈川県横浜市都筑区勝田町1297,045-942-3302,http://www.hayashi-iin.com/,〇,〇,内科小児科,林毅,昭和大学横浜市北部病院(神奈川県横浜市都筑区茅ケ崎中央35-1),3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4571,なおこレディースクリニック,224-0032,神奈川県横浜市都筑区茅ケ崎中央６－１サウスウッド３階,045-945-0051,https://naoko-lc.com/,×,〇,産婦人科,安藤直子,昭和大学横浜市北部病院（神奈川県横浜市都筑区茅ケ崎中央３５－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4572,なかがわ耳鼻咽喉科,224-0001,神奈川県横浜市都筑区中川１－１９－２３大久保第５ビル１Ｆ,045-914-3800,https://www.nakagawajibika.com,〇,〇,耳鼻咽喉科,福元晃福元明子,昭和大学横浜市北部病院（神奈川県横浜市都筑区茅ケ崎中央３５－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4573,なかまちだいおたべ小児科クリニック,224-0041,神奈川県横浜市都筑区仲町台１－９－８プリーマ仲町台１Ｆ,045-949-0830,,〇,〇,小児科,小田部,昭和大学横浜市北部病院（横浜市都筑区茅ケ崎中央３５－１）横浜労災病院（横浜市港北区小机町３２１１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4574,浜崎眼科医院,224-0034,神奈川県横浜市都筑区1298－２,045-949-4222,http://www.ecoh.jp/,〇,〇,眼科,浜崎健太,浜崎眼科医院,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4575,皮フ科小久保医院,224-0006,神奈川県横浜市都筑区荏田東４－８－５プラザ都筑２階,045-949-6551,http://kokuboiin.com/,〇,〇,皮膚科,小久保純,昭和大学横浜市北部病院（神奈川県横浜市都筑区茅ケ崎中央３５－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4576,坊クリニック,224-0003,神奈川県横浜市都筑区中川中央1-31-1,045-911-5355,http://bo-cl.jp,×,〇,内科・消化器科・外科・婦人科・心療内科,坊英樹坊裕美,なし,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4577,ほしの小児クリニック,224-0001,神奈川県横浜市都筑区中川１－１９－１－４０２,045-910-3303,,×,〇,小児科,星野千代江,医）桂慈会ほしの小児クリニック,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4578,村上内科クリニック,224-0057,神奈川県横浜市都筑区川和町１２３６－１ガーデンプラザ川和,045-929-0070,,〇,〇,内科小児科,村上浩,昭和大学横浜市北部病院（横浜市都筑区茅ケ崎中央３５－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4579,森田クリニック,224-0041,神奈川県横浜市都筑区仲町台５－７－７－２Ｆ,045-942-0001,http://t-moritacl.jp,×,〇,内科,森田塩本,,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4580,港北エヌティークリニック,224-0021,神奈川県横浜市都筑区北山田７－１２－２０－２Ｆ,045-593-0505,https://www.kohokunt.or.jp/,×,〇,内科脳神経外科,井手口浩之,横浜労災病院（横浜市港北区小机町３２１１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4581,松浦内科,224-0021,神奈川県横浜市都筑区北山田１－７－１,045-593-1166,http://www.matsuura-medical-clinic.jp/,〇,〇,内科消化器科循環器科小児科,松浦秀光,昭和大学横浜市北部病院（横浜市都筑区茅ケ崎中央３５－１）横浜労災病院（横浜市港北区小机町３２１１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4582,村上皮膚科クリニック,224-0001,神奈川県横浜市都筑区中川１－５－１７ヒルズ岡本２０１,045-912-0912,,×,〇,皮膚科,村上昇村上順子,昭和大学横浜市北部病院（神奈川県横浜市都筑区茅ケ崎中央３５－１）,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4583,仲町台駅前まつのぶクリニック,224-0041,神奈川県横浜市都筑区仲町台１－２－２０フロンティアビル２０２,045-943-3377,http://www.matsunobu-cl.com,△,〇,内科外科内視鏡内科肛門科,松信哲朗,昭和大学横浜市北部病院,3,関東,3関東,14,神奈川県,14神奈川県,14118,横浜市都筑区,14118横浜市都筑区,1401,横浜北部,1401横浜北部
4584,太田総合病院,210-0024,神奈川県川崎市川崎区日進町1-50,044-244-0131,http://www.ota-g-hospital.com/,×,〇,全科,各科,,3,関東,3関東,14,神奈川県,14神奈川県,14131,川崎市川崎区,14131川崎市川崎区,1405,川崎南部,1405川崎南部
4585,医療法人社団清恵会田村外科病院,212-0005,神奈川県川崎市幸区戸手1丁目9番13号,044-544-6111,http://www.tamurasurgical.jp/,〇,〇,外科、小児外科、整形外科、脳神経外科、循環器科、消化器外科、肛門科、リハビリテーション科,田村哲郎中山茂樹,対面が必要な場合には当院にて対応予定,3,関東,3関東,14,神奈川県,14神奈川県,14132,川崎市幸区,14132川崎市幸区,1405,川崎南部,1405川崎南部
4586,スキップこどもアレルギークリニック,212-0057,神奈川県川崎市幸区北加瀬2-11-3コトニアガーデン新川崎,044-587-5015,https://www.skip-clinic.net,〇,〇,小児科アレルギー科,田中裕,済生会横浜市東部病院（神奈川県横浜市鶴見区下末吉3丁目6-1）,3,関東,3関東,14,神奈川県,14神奈川県,14132,川崎市幸区,14132川崎市幸区,1405,川崎南部,1405川崎南部
4587,医療法人社団ナイズキャップスクリニック武蔵小杉,211-0016,神奈川県川崎市中原区市ノ坪４４９－３シティタワー武蔵小杉１Ｆ,044-863-9550,https://www.caps-clinic.jp/musashikosugi,〇,〇,小児科,橋本興人,,3,関東,3関東,14,神奈川県,14神奈川県,14133,川崎市中原区,14133川崎市中原区,1405,川崎南部,1405川崎南部
4588,関東労災病院,211-8510,神奈川県川崎市中原区木月住吉町1-1,044-411-3131,https://www.kantoh.johas.go.jp/,×,〇,腎臓内科、糖尿病・内分泌内科、血液内科、総合内科、神経内科、呼吸器内科、消化器内科、循環器内科、心臓血管外科、小児科、外科、形成外科、皮膚科、産婦人科、眼科、耳鼻咽喉科、歯科口腔外科,横地章生他９８名,－,3,関東,3関東,14,神奈川県,14神奈川県,14133,川崎市中原区,14133川崎市中原区,1405,川崎南部,1405川崎南部
4589,片倉病院,213-0014,神奈川県川崎市高津区新作4-11-16,044-866-2151,https://wwwkatakura.or.jp/,△,〇,内科,豊島秀男永江愛山口俊弘,帝京大学溝口病院（神奈川県川崎市高津区二子５－１－1総合高津中央病院（神奈川県川崎市高津区溝口1-16-7）,3,関東,3関東,14,神奈川県,14神奈川県,14134,川崎市高津区,14134川崎市高津区,1404,川崎北部,1404川崎北部
4590,川崎市立多摩病院,214-8525,神奈川県川崎市宿河原1-30-37,044-933-8111,http://marianna-tama.jp/,×,〇,全診療科,,,3,関東,3関東,14,神奈川県,14神奈川県,14135,川崎市多摩区,14135川崎市多摩区,1404,川崎北部,1404川崎北部
4591,一般財団法人聖マリアンナ会東横惠愛病院,216-0003,神奈川県川崎市宮前区有馬4-17-23,044-877-5522,https://www.st-marianna.com,×,〇,精神科,患者の主治医のみ対応,当院受診,3,関東,3関東,14,神奈川県,14神奈川県,14136,川崎市宮前区,14136川崎市宮前区,1404,川崎北部,1404川崎北部
4592,医療法人社団市川整形外科医院つちはし整形外科リウマチ科,216-0005,神奈川県川崎市宮前区土橋7-26-6,044-853-0330,https://445.co.jp/tsuchihashi-seikei/index.html,×,〇,整形外科,菜畑剛一,,3,関東,3関東,14,神奈川県,14神奈川県,14136,川崎市宮前区,14136川崎市宮前区,1404,川崎北部,1404川崎北部
4593,麻生リハビリ総合病院,215-0021,神奈川県川崎市麻生区上麻生6-23-50,044-981-6878,https://www.souseikai.net/rehabilitation,×,〇,整形外科内科,菅直樹長瀬清弘西中直也田中康文藤田匡邦笠川彰,麻生総合病院（川崎市麻生区上麻生6-25-1）,3,関東,3関東,14,神奈川県,14神奈川県,14137,川崎市麻生区,14137川崎市麻生区,1404,川崎北部,1404川崎北部
4594,森下記念病院,252-0311,神奈川県相模原市南区東林間４－２－１８,042-742-5055,http://www.morishita.or.jp/,×,〇,腎臓内科・透析内科・透析血管外科・消化器内科・泌尿器科・循環器内科・内科・外科・眼科,森下将充、中上哲雄、石川博和、勝又健太、大地哲也、山田葉子、福田安伸、伊藤義也、松井宣昭、津村秀康,-,3,関東,3関東,14,神奈川県,14神奈川県,14153,相模原市南区,14153相模原市南区,1410,相模原,1410相模原
4595,横須賀市療育相談センター,238-8530,横須賀市小川町16,046-822-6741,,×,〇,小児精神科,,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4596,三上医院,238-0012,横須賀市安浦町2-2,046-822-0750,,×,〇,内科小児科,三上剛志三上大志三上公志,横須賀共済病院横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4597,馬堀小児科医院,239-0801,横須賀市馬堀海岸2-26-7,046-843-0115,https://maborishiunika.com,×,〇,小児科,林美雪,横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4598,新村皮フ泌尿クリニック,238-0315,横須賀市林2-1-32-6,046-857-8600,,×,〇,皮膚科泌尿器科,新村武明,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4599,稲田内科,239-0807,横須賀市根岸町2-31-13ナヴィール北久里浜２F,046-836-9665,,〇,〇,内科,稲田直之稲田美保恵,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4600,武山内科,238-0313,横須賀市武1-20-17ライフコート横須賀武山２F,046-874-8317,http://takeyamanaika.com,×,〇,内科循環器内科,松山明正,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4601,井坂クリニック,239-0831,横須賀市久里浜5-11-4,046-836-0272,,〇,〇,精神科,井坂健一,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4602,フロムワン付属診療所,238-0022,横須賀市公郷町3-68-3,046-876-8780,,×,〇,内科リウマチ科,佐藤眞紀子,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4603,中央内科クリニック,238-0007,横須賀市若松町2-7藤田ビル４F,046-822-6859,,×,〇,内科,松岡幹雄,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4604,上町在宅クリニック,238-0017,横須賀市上町2-20,046-822-2404,,×,〇,内科,渡辺誠一,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4605,三宅整形外科小児科クリニック,239-0822,横須賀市浦賀5-2-3,046-842-1301,http://www.miyake-seikei.com,〇,〇,整形外科小児科,三宅洋一三宅直香,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4606,しざわクリニック,238-0017,横須賀市上町2-7-5上町ｸﾘﾆｯｸﾋﾞﾙ３F,046-823-8551,,×,〇,内科胃腸科肛門科外科,志澤良一,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4607,安田内科・皮ふ科,239-0802,横須賀市馬堀町3-2-12,046-874-7580,,×,〇,内科皮膚科,安田保,横須賀共済病院横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4608,高宮小児科,239-0807,横須賀市根岸町4-3-20,046-837-7300,https://www.takamiya-kids.com,〇,〇,小児科,高宮光,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4609,神奈川歯科大学附属病院,238-8570,横須賀市小川町1-23,046-822-8810,https://www.kdu.ac.jp/hosupital/,×,〇,内科糖尿病・内分泌内科消化器内科高齢者内科,青木一摩青木一孝古出智子眞鍋雄太橋本,横須賀共済病院横須賀市立うわまち病院横浜市立大学附属病院（横浜市）,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4610,櫻井整形外科,238-0048,横須賀市坂本町4-5,046-828-8077,,〇,〇,整形外科リハビリテーション科,櫻井,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4611,萩原肛門科,239-0807,横須賀市根岸町3-4-24,046-834-1601,,×,〇,肛門科,川原薫,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4612,北川外科・胃腸科,238-0043,横須賀市坂本町2-31エルエスビル２F,046-821-0557,,〇,〇,内科,北川正明,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4613,金沢胃腸科外科医院,239-0831,横須賀市久里浜1-6-2,046-833-1173,,×,〇,内科外科,金沢,横須賀市立市民病院横須賀市立うわまち病院横須賀共済病院よこすか浦賀病院衣笠病院横浜南共済病院（横浜市）横浜市立大学附属病院（横浜市）,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4614,久里浜眼科,239-0831,横須賀市久里浜4-8-16,046-833-0057,,×,〇,眼科,柳川明彦,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4615,いまにしクリニック,239-0802,横須賀市馬堀町1-7-8,046-835-0316,https://imanishiclinic.com/,×,〇,内科皮膚科,今西宏明,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4616,ゆき呼吸器内科クリニック,238-0008,横須賀市大滝町2-15横須賀東相ビル３F,046-828-4159,,×,〇,呼吸器内科,蜂須賀久喜,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4617,竹内医院,239-0843,横須賀市津久井2-2-23,046-848-0026,,×,〇,内科小児科,岩村ゆかり,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4618,おおた心療内科醫院,238-0007,横須賀市若松町1-1野土屋ビル５F,046-823-3700,,×,〇,精神科心療内科老年精神科,太田共夫,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4619,武山加藤医院,238-0315,横須賀市林3-1-7,046-856-6636,,〇,〇,内科消化器科循環器内科,加藤圭武藤和弘,横須賀共済病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4620,ナーブケア在宅クリニック,238-0012,横須賀市安浦町2-19,046-828-3637,,〇,〇,,,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4621,さいとう内科クリニック,238-0017,横須賀市上町1-40-12,046-828-5552,,×,〇,内科脳神経内科,齋藤之伸,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4622,やまうち内科クリニック,238-0031,横須賀市衣笠栄町1-61,046-852-4970,http://www.yamauchi-clinic.jp,〇,〇,内科,山内眞義山内章裕,衣笠病院横須賀共済病院横須賀市立うわまち病院よこすか浦賀病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4623,いしわた医院,238-0315,横須賀市林5-8-27,046-855-5711,https://www.dr-ishiwata.jp,×,〇,内科,石渡,横須賀市立市民病院横須賀市立うわまち病院衣笠病院横須賀共済病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4624,田中胃腸科医院,238-0017,横須賀市上町2-46,046-823-1515,,×,〇,内科胃腸科,田中容,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4625,石橋クリニック,239-0808,横須賀市大津町1-8-32,046-837-3233,http://yokosuka-ishibashi-clinic.com,×,〇,内科消化器内科外科胃腸内科アレルギー内科,石橋啓如石橋千昭,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4626,久里浜横井クリニック,239-0805,横須賀市舟倉1-30-12,046-833-6133,http://oppamayoshii-naika.net,〇,〇,内科胃腸科外科,横井隆志,横須賀共済病院横須賀市立うわまち病院横須賀市立市民病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4627,追浜吉井内科クリニック,237-0068,横須賀市追浜本町1-40追浜平川ビル1F,046-865-2530,,〇,〇,内科糖尿病内科内分泌内科,吉井大司,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4628,水口整形外科,238-0011,横須賀市米が浜通2-4,046-827-2231,,〇,〇,整形外科,神蔵,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4629,横須賀中央診療所,238-0011,横須賀市米が浜通1-18-15,046-823-8691,https://sites.google.com/site/ycchp2014/home,×,〇,内科,春田明郎名取雄司小野村雅久,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4630,整形外科・リハビリ科よこすか米が浜クリニック,238-0011,横須賀市米が浜通1-18-13-4・5F,046-828-1313,http://www.yonegahama-clinic.info/,×,〇,整形外科,山根知哉,横須賀共済病院聖ヨゼフ病院横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4631,あきやま医院,239-0807,横須賀市根岸町1-9-9久里浜スカイマンション２F,046-833-0588,,〇,〇,内科整形外科,名越淳人池田大志暁山昌幸,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4632,マールクリニック,238-0011,横須賀市米が浜通1-8-7共立米が浜ビル３F,046-828-5333,http://ma-ruclinic.com/sp/,〇,〇,内科,水野靖大,横須賀共済病院横須賀市立うわまち病院衣笠病院よこすか浦賀病院横浜市立大学附属病院（横浜市）,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4633,ナーブケアクリニック,238-0012,横須賀市安浦町2-19,046-824-7638,https://www.nccncs.jp,〇,〇,,,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4634,倉田耳鼻科,237-0076,横須賀市船越町1-52,046-895-6865,,×,〇,耳鼻咽喉科,倉田文雄,横須賀共済病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4635,古畑泌尿器科クリニック,238-0031,横須賀市衣笠栄町1-27花富ビル２F,,http://www.furuhata.sakura.ne.jp,×,〇,泌尿器科,古畑壮一石黒恵理子,横須賀共済病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4636,菱沼クリニック,239-0841,横須賀市野比1-42-47,046-839-2666,http://www.hishinuma-clinic.jp,×,〇,精神科内科,菱沼洋子菱沼昭,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4637,耳鼻咽喉科森医院,238-0011,横須賀市米が浜通1-18-13ｸﾗｼｵﾝﾒﾃﾞｨｶﾙﾋﾞﾙ２F,046-822-7058,,〇,〇,耳鼻咽喉科,森豊,横須賀共済病院横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4638,藤田整形外科,239-0841,横須賀市野比1-39-15,046-848-6551,https://fujita-ortho.jp/,×,〇,整形外科,藤田正樹,横須賀共済病院横須賀市立うわまち病院横須賀市立市民病院聖ヨゼフ病院湘南病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4639,くりはまメンタルクリニック,239-0831,横須賀市久里浜4-5-6浅葉ビル４F,046-876-8157,http://www.kurihama-mental.jp,×,〇,精神科心療内科,宮川朋大,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4640,よこすか女性泌尿器科・泌尿器科クリニック,238-0008,横須賀市大滝町2-6ザタワー横須賀中央301-2,046-823-8456,http://urogyn.jp,×,〇,女性泌尿器科,奥井伸雄,横須賀タワークリニック神奈川歯科大学附属病院画像診断科,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4641,倉田耳鼻咽喉科,239-0842,横須賀市長沢3-3-10,046-848-8741,,〇,〇,耳鼻咽喉科,愛甲健矢吹健一郎,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4642,鴨居ファミリークリニック,239-0813,横須賀市鴨居1-17-16２F,046-841-7277,,×,〇,内科小児科,山岡一昭,横須賀共済病院横須賀市立うわまち病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4643,なかむら耳鼻咽喉科クリニック,238-0011,横須賀市米が浜通1-4ｸﾗｼｵﾝⅢ２F,046-827-2729,http://www.memai-clinic.com,×,〇,耳鼻咽喉科,中村正,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4644,桜が丘診療所,239-0803,横須賀市桜が丘1-7-18,046-835-5330,,×,〇,婦人科内科,永井生司,,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
4645,湘南内科医院,238-0006,横須賀市日の出町1-7,046-822-1034,http://www.dojinkai.or.jp/,×,〇,内科,野尻陽子,横須賀市立うわまち病院聖ヨゼフ病院,3,関東,3関東,14,神奈川県,14神奈川県,14201,横須賀市,14201横須賀市,1406,横須賀・三浦,1406横須賀・三浦
